Faction	Type	Name	Status	Original Text	Current Text	Orig Chars	Curr Chars	Flavor Text
The Empire	unit	Halberdiers	FLAVOR_ONLY	Standard Empire core infantry.	Standard Empire core infantry.	30	30	The backbone of every battle the Empire has survived.
The Empire	unit	Crossbowmen	FLAVOR_ONLY	Shoot 30cm.	Shoot 30cm.	11	11	Aim at the gap in the armour. There is always a gap.
The Empire	unit	Handgunners	FLAVOR_ONLY	Armour piercing: enemy armour one worse. Up to 1 per 1000pts can replace Crossbowmen and count toward their min/max.	Armour piercing: enemy armour one worse. Up to 1 per 1000pts can replace Crossbowmen and count toward their min/max.	116	116	The roar of powder ends more arguments than reason.
The Empire	unit	Knights	FLAVOR_ONLY	Standard heavy cavalry.	Standard heavy cavalry.	23	23	Steel-clad, debt-free, and pointed at the enemy.
The Empire	spell	Weird Enchantment	REWRITTEN	Cast on any enemy unit (no LoS needed). Lasts until end of opposing player's next turn. The unit moves at half pace in all situations, even when charging. The unit counts all enemies as terrifying (-1 Attack), even if normally immune to terror. If the unit would normally cause terror it ceases to do so. Undead and Daemon targets do not count enemies as terrifying but all other penalties apply.	Cast on any enemy unit (no LoS). Lasts until end of opponent's next turn. Unit moves at half pace in all situations, even when charging. The unit counts all enemies as terrifying (-1 Attack), even if normally immune to terror. If the unit would normally cause terror it ceases to do so. Undead and Daemon targets do not count enemies as terrifying but all other penalties apply.	396	378	
The Empire	army_rule	Helblaster	REWRITTEN	Range 30cm. Attacks vary by range: 01-10cm = 8 attacks, 11-20cm = 4 attacks, 21-30cm = 2 attacks. Targets count Armour one worse than normal. If any 1s are rolled when shooting, count them: 1-2 = Fizzle (resolve attacks normally); 3 = Misfire (no shots this turn); 4+ = Ka-boom! (Helblaster destroyed, no hits struck on enemy unless shooting at a charging foe, in which case 6 hits are automatically inflicted — make armour saves as normal for Helblaster hits).	Range 30cm. Atk by range: 0–10cm = 8, 11–20cm = 4, 21–30cm = 2. Target must be visible; shoots in a straight line, never into combat. Each time it fires roll for malfunction: on a 1, roll again — 1–3 = destroyed, 4–6 = no fire this turn (fires normally next turn). Cannot be driven back by shooting; crew hold their ground on that result.	461	338	
The Empire	army_rule	Steam Tank	REWRITTEN	Always counts as defended (5 or 6 to hit). Cannot be driven back or routed by shooting. Cannot brigade. No character may join it. 360 degree vision. Shoots to front, side or rear against closest enemy target (30cm range, counts armour one worse). On a double-6 order, roll Malfunction: 1=Destroyed; 2=Broken Down (cannot move ever again); 3=Stuck (no move/shoot this turn); 4=Commander Slain (-1 Command permanently); 5=Momentary Halt; 6=Steam Overload (cannot move but shoots with 6 Attacks).	Always def (5+ to hit). Cannot be driven back or routed by shooting. No brigade; no character may join. 360° vision. Shoots 30cm, armour piercing. On double-6 order: roll Malfunction chart. In combat: may advance, cannot pursue. At badly hurt: halved to 3H/2A.	493	260	
Tomb Kings	unit	Skeleton Cavalry	FLAVOR_ONLY	Undead.	Undead.	7	7	They rode in life. In death, they ride still.
Tomb Kings	spell	Raise Dead	REWRITTEN	Cast on a combat engagement within 30cm (no LoS needed). Creates a 3-stand Skeleton unit placed in contact with the engagement or supporting a friendly unit. If stands cannot be legally placed the spell fails. Raised dead do not count as charging and are ignored for breakpoint and victory points. Only one Raise Dead per engagement per turn. Placement cannot split the engagement.	Cast on a combat within 30cm (no LoS). Places a 3-stand Skeleton unit in contact with the engagement; fails if stands cannot be legally placed. Raised dead do not count as charging; ignored for breakpoint and VPs. One Raise Dead per engagement per turn. Placement cannot split the engagement.	381	292	
Chaos	unit	Chaos Warriors	FLAVOR_ONLY	Elite heavy infantry.	Elite heavy infantry.	21	21	Forged in the wastes. Bound to slaughter.
Chaos	unit	Marauder Horsemen	FLAVOR_ONLY	Fast light cavalry.	Fast light cavalry.	19	19	They ride south to take what the gods demand.
Chaos	unit	Chaos Hounds	FLAVOR_ONLY	Fast war hounds.	Fast war hounds.	16	16	They have tasted blood from a thousand battlefields.
Chaos	spell	Rage of Chaos	REWRITTEN	Cast on a friendly unit engaged in combat and within range (no LoS needed). Lasts for the following Combat phase. The unit gains bonus Rage attacks — roll D6 repeatedly (up to 1 per stand), adding results. Stop at any time, but if a repeat value is rolled all attacks hit the Chaos unit instead. Non-rebounded bonus attacks apply each round of combat. Rebounded attacks are struck only once in the first round, not each round.	Cast on a friendly unit in combat within range (no LoS needed). Lasts for the next Combat phase. Each stand gains +1 attack. The unit causes terror (-1 atk penalty to enemy in combat if not already suffering it). Only one unit per combat engagement may benefit from Rage at a time.	426	281	
Orcs & Goblins	unit	Orc Warriors	FLAVOR_ONLY	Core orc infantry.	Core orc infantry.	18	18	They live to fight. Everything else is waiting.
Orcs & Goblins	unit	Goblins	FLAVOR_ONLY	Shoot 15cm (bows).	Shoot 15cm (bows).	18	18	Countless as cockroaches and nearly as brave.
Orcs & Goblins	unit	Black Orcs	FLAVOR_ONLY	Elite orcs.	Elite orcs.	11	11	Even other Orcs give them room to swing.
Orcs & Goblins	unit	Boar Riders	FLAVOR_ONLY	Heavy orc cavalry.	Heavy orc cavalry.	18	18	The boar doesn't care what it tramples. Neither does the rider.
Orcs & Goblins	unit	Rock Lobber	FLAVOR_ONLY	Stone Thrower.	Stone Thrower.	14	14	Sometimes the rock comes back. That's also fine.
High Elves	unit	Spearmen	FLAVOR_ONLY	Core High Elf infantry.	Core High Elf infantry.	23	23	Their phalanx has held since before men had kingdoms.
High Elves	unit	Archers	FLAVOR_ONLY	+1 to shooting dice rolls (hit on 3+ in open, 4+ defended, 5+ fortified).	+1 to shooting dice rolls (hit on 3+ in open, 4+ defended, 5+ fortified).	73	73	Each arrow is loosed with the patience of centuries.
High Elves	unit	Silver Helms	FLAVOR_ONLY	Elite heavy cavalry.	Elite heavy cavalry.	20	20	They charge as silver light cuts through winter fog.
High Elves	unit	Reavers	FLAVOR_ONLY	Fast light cavalry.	Fast light cavalry.	19	19	Swift enough to be gone before the enemy turns around.
High Elves	army_rule	Dragons	REWRITTEN	Fly (move 100cm). Dragon Rider units and units with a Dragon-riding character cause terror. Dragon breathes fire: 20cm range, 3 Attacks at 4+ (rider must have joined a unit, not engaged in combat). Generals, Wizards and Heroes can ride Dragons (+3 Attacks). Dragon Riders with 4-5 hits become Badly Hurt — Hits and Attacks halved (3 Hits, 3/2 Attacks). A Dragon ridden by a lone character (not in a unit) cannot breathe fire.	Fly (100cm). Dragon Rider units and units with a Dragon-riding character cause terror. Breath attack: 20cm, 3 atk, hits on 4+; used in addition to normal attacks. Magic items cannot augment breath. At 4–5 hits (not engaged): badly hurt, halved to 3H/3A/2 breath attacks. Individual Dragon mounts: rider remounts on the surviving stand.	425	335	
Dwarfs	unit	Warriors	FLAVOR_ONLY	Tough core infantry. One Handgunner unit per 1000pts may replace a Warrior unit and count for Warrior min/max.	Tough core infantry. One Handgunner unit per 1000pts may replace a Warrior unit and count for Warrior min/max.	110	110	Short of stature. Long of grudge. Hard of skull.
Dwarfs	unit	Cannon	FLAVOR_ONLY	Bouncing cannonball. See rulebook p.74.	Bouncing cannonball. See rulebook p.74.	39	39	Dwarf engineering: loud, reliable, and deeply satisfying.
Dwarfs	army_rule	Rangers	REWRITTEN	One unit of Rangers per 1000pts may infiltrate instead of deploying normally. Issue an infiltration order from any character (ignoring dense terrain penalties and Command range limits) to a point in dense terrain or on any table edge except the enemy's. On success the unit appears there, using that as their first order. Rangers can pursue any type of retreating enemy despite being infantry.	One unit per 1000pts may infiltrate instead of deploying normally. Give an infiltration order to a point in dense terrain or on any table edge except the enemy’s — Cmd range is unlimited for this order. On success, the unit appears there. Cannot appear within 20cm of any enemy unit at deployment.	393	297	
Skaven	unit	Clanrats	FLAVOR_ONLY	Strength in Numbers: brigades unlimited size.	Strength in Numbers: brigades unlimited size.	45	45	Many blades make light work of courage.
Skaven	unit	Stormvermin	FLAVOR_ONLY	Elite Skaven infantry.	Elite Skaven infantry.	22	22	Stronger, meaner, and marginally less likely to flee.
Skaven	unit	Rat Ogres	FLAVOR_ONLY	Powerful monsters.	Powerful monsters.	18	18	Madness given sinew. Hunger given fists.
Skaven	unit	Screaming Bell	REWRITTEN	Cannot move using initiative. Can only move in a brigade with infantry. Cannot be driven back or routed by shooting. Destroyed if forced to retreat from combat. Will pursue, advance and fall back only while touching a Skaven infantry unit at start and end of move. All friendly units touching the Bell are immune to terror. Heroes/Warlocks within 30cm get +1 Command; enemy characters within 30cm get -1 Command.	Cannot move on initiative. May only move in a brigade with infantry. Destroyed if forced to retreat from combat. Cannot be driven back. Each Shooting phase, roll D6 per enemy unit within 20cm: on 6, that unit is confused (no save). Gains the best armour save of any friendly infantry within 10cm.	412	296	
Lizardmen	unit	Saurus	FLAVOR_ONLY	Reptilian.	Reptilian.	10	10	Cold eyes. Colder blood. Older than memory.
Lizardmen	army_rule	Salamanders	REWRITTEN	Salamander stands are not deployed independently — any Skink infantry unit may add one Salamander stand (making 4 stands total). Salamanders share unit Armour, fight as part of the unit, and casualties never count for Command penalties. Salamander stands never cause irregular formation no matter how placed. The whole unit (including Salamander) gains Salamander Venom: enemy Armour saves suffer -1 penalty (e.g. 5+ requires a 6).	Not deployed independently. Any Skink infantry unit may add one Salamander stand (+pts cost). Salamanders fight with their Skink unit. In shooting, use the Salamander’s own attacks (not the Skinks’). In combat, resolve Salamander attacks separately using its own Attack value. Destroyed if its Skink unit is destroyed. Max one Salamander per Skink unit.	431	353	
Lizardmen	army_rule	Slann Mage Palanquin	REWRITTEN	The Slann General has no personal Command value (Command 0) but The Slann cannot give orders himself. Instead Skink characters within 20cm use Divine Guidance (deduct -1 from order dice). If DG fails, Divine Guidance cannot be used by any other characters for the rest of that turn, and those characters get +1 to their first order rolls. The Slann casts spells as a Wizard and can re-roll failed spells (except on natural 1). Can cast through Skink Shamans within 20cm.	The Slann General has Cmd 0 and cannot give orders — only Skink Heroes command. The Slann casts spells with +1 to casting rolls; all Wizards within 20cm also get +1. May ride a Stegadon (terror, breath attack retained). When on Stegadon, the Slann’s full-table Cmd range applies to his unit only. Up to 2 Palanquin Bodyguards (Temple Guard) may be attached.	470	357	
Bretonnia	unit	Men-at-Arms	FLAVOR_ONLY	Standard infantry.	Standard infantry.	18	18	They serve so their lords need not bleed.
Bretonnia	unit	Bowmen	FLAVOR_ONLY	Archers.	Archers.	8	8	Every peasant owes his lord a thousand arrows.
Bretonnia	unit	Squires	FLAVOR_ONLY	Light cavalry.	Light cavalry.	14	14	Eager to prove themselves. Less eager to die.
Bretonnia	army_rule	Trebuchet	REWRITTEN	Uses a 40x60mm base. Can move but cannot shoot in the same turn it moves. Destroyed if driven back more than 10cm by shooting or if forced to retreat from combat. Range 80cm. Fortified counts as defended, defended counts as open. No armour rolls allowed. Cannot shoot at charging enemies. Can shoot over the heads of friendly troops on lower ground. Not affected by Gerroff!!! spell.	40×60mm base. Can move or shoot, not both. Destroyed if driven back 10cm+ by shooting. Requires LoS; shoots straight from barrel, 60cm range. Uses Stone Thrower rules (hits def and fort units). Malfunction on 1: roll again — 1–3 = destroyed, 4–6 = no fire this turn. Cannot shoot into combat.	383	292	
Kislev	unit	Axemen	FLAVOR_ONLY	Core infantry.	Core infantry.	14	14	Kislev winters breed hard men with harder axes.
Kislev	army_rule	War Wagon	REWRITTEN	Cannot charge and moves 20cm at full pace. Moving up to 5cm can end in laager formation (360 degree fire, 4+ Armour). Moving more than 5cm must end in column formation. Either stand can be removed as casualty; can only move while the team stand remains. 30cm range, counts enemy Armour one worse. Can shoot over lower friendly troops. In column: cannot pursue but retreats normally (not destroyed). In laager: will neither pursue nor retreat (not destroyed if forced to retreat), continues to count as defended, enemy can continue to fight but with no pursuit bonuses, cannot make way. Infantry touching laagered wagon's short edge counts as defended (first combat round and for shooting).	Cannot charge; moves 20cm. May end a move of up to 5cm in laager (360° vision). Laager: 3 shots/30cm, 6 attacks from any direction; cannot move next turn. Line: 2 shots/30cm, moves 20cm, def. No brigade with cavalry. Never driven back — retreats 5cm in formation instead. In combat: no advance or pursue. If routed in laager: destroyed. If forced onto a unit: both destroyed.	689	375	
Dark Elves	unit	Crossbowmen	FLAVOR_ONLY	Repeating crossbow: shoot twice at ≤15cm (6 attacks), once at ≤30cm (3 attacks). 1 attack/stand when shooting at chargers.	Repeating crossbow: shoot twice at ≤15cm (6 attacks), once at ≤30cm (3 attacks). 1 attack/stand when shooting at chargers.	122	122	Bolts tipped in spite, aimed with cold precision.
Dark Elves	unit	Dark Riders	FLAVOR_ONLY	Repeating crossbow: shoot twice at ≤15cm. 1 attack/stand at chargers.	Repeating crossbow: shoot twice at ≤15cm. 1 attack/stand at chargers.	69	69	Fleet as malice, cruel as winter on the open sea.
Vampire Counts	unit	Zombies	FLAVOR_ONLY	Undead.	Undead.	7	7	Death is not the end. It is merely a change of orders.
Vampire Counts	unit	Grave Guard	FLAVOR_ONLY	Undead. Elite skeletons.	Undead. Elite skeletons.	24	24	They remember what it was to be feared.
Vampire Counts	spell	Raise Dead	REWRITTEN	Cast on a combat engagement within 30cm (no LoS needed). Creates a 3-stand Skeleton unit placed in contact with the engagement. If stands cannot be legally placed the spell fails. Raised dead do not count as charging and are ignored for breakpoint and victory points. Only one Raise Dead per engagement per turn. Placement cannot split the engagement.	Cast on a combat within 30cm (no LoS). Places a 3-stand Skeleton unit in contact with the engagement; fails if stands cannot be legally placed. Raised dead do not count as charging; ignored for breakpoint and VPs. One Raise Dead per engagement per turn. Placement cannot split the engagement.	351	292	
Araby	unit	Spearmen	FLAVOR_ONLY	Core infantry.	Core infantry.	14	14	They guard the gate as their fathers did before them.
Araby	unit	Bowmen	FLAVOR_ONLY	Archers.	Archers.	8	8	The desert wind carries arrows as readily as sand.
Araby	unit	Knights	FLAVOR_ONLY	Heavy cavalry.	Heavy cavalry.	14	14	Silk robes beneath steel plate, death beneath both.
Araby	unit	Magic Carpets	FLAVOR_ONLY	Flying cavalry.	Flying cavalry.	15	15	The sky is just another battlefield.
Dogs of War	unit	Crossbowmen	FLAVOR_ONLY	Standard crossbowmen.	Standard crossbowmen.	21	21	They sell their aim to whoever meets the asking price.
Dogs of War	unit	Handgunners	FLAVOR_ONLY	Armour piercing.	Armour piercing.	16	16	Loud, acrid, and devastatingly convincing.
Dogs of War	unit	Swordsmen	FLAVOR_ONLY	Standard infantry.	Standard infantry.	18	18	A clean blade keeps better than loyalty.
Dogs of War	unit	Light Cavalry	FLAVOR_ONLY	Shoot 15cm, 360° vision.	Shoot 15cm, 360° vision.	24	24	In, out, and gone before the dust settles.
Dogs of War	unit	Knights	FLAVOR_ONLY	Heavy cavalry.	Heavy cavalry.	14	14	Their lance is for hire. Their honour, negotiable.
